session_id,survey_id,annotator_id,evaluator_gender,evaluator_age,clip_id,display_order,speaker_id,speaker_sex,sentence_num,model_name,is_cloned,humanlike,customer_service,native_english,authoritative,warm,trust,intimate_convo
session_004,survey_182,annotator_072,Woman,,clip_0786,7,speaker_032,Male,7,chatterbox,0,5,3,5,1,4,4,2
session_003,survey_225,annotator_149,Woman,,clip_1734,20,speaker_020,Female,3,chatterbox,0,3,3,5,2,1,2,2
session_004,survey_182,annotator_072,Woman,,clip_1096,8,speaker_086,Male,8,chatterbox,1,1,1,2,3,1,1,1
session_004,survey_182,annotator_072,Woman,,clip_0729,9,speaker_023,Male,7,chatterbox,1,1,1,1,2,1,1,1
session_004,survey_182,annotator_072,Woman,,clip_0616,10,speaker_003,Male,1,chatterbox,1,4,4,5,1,4,3,2
session_006,survey_192,annotator_055,Woman,,clip_0465,12,speaker_056,Female,1,elevenlabs,0,1,5,3,1,2,2,2
session_004,survey_182,annotator_072,Woman,,clip_0615,11,speaker_003,Male,1,chatterbox,0,5,3,5,1,4,3,2
session_006,survey_192,annotator_055,Woman,,clip_0447,14,speaker_053,Female,8,elevenlabs,0,2,1,3,2,2,3,2
session_004,survey_182,annotator_072,Woman,,clip_0787,12,speaker_032,Male,7,chatterbox,1,4,3,5,1,4,4,1
session_006,survey_192,annotator_055,Woman,,clip_0517,15,speaker_061,Female,3,elevenlabs,0,2,2,1,1,2,2,1
session_004,survey_182,annotator_072,Woman,,clip_1056,13,speaker_081,Male,8,chatterbox,0,1,1,2,4,1,1,1
session_004,survey_182,annotator_072,Woman,,clip_1728,14,speaker_006,Male,3,chatterbox,0,1,1,2,3,1,1,1
session_004,survey_182,annotator_072,Woman,,clip_2038,15,speaker_006,Male,3,chatterbox,1,4,4,5,2,2,2,1
session_006,survey_192,annotator_055,Woman,,clip_0570,17,speaker_072,Female,8,elevenlabs,1,4,1,4,1,4,3,4
session_001,survey_088,annotator_165,Man,,clip_0689,15,speaker_015,Male,1,chatterbox,0,1,1,1,1,1,1,1
session_001,survey_088,annotator_165,Man,,clip_0638,16,speaker_009,Male,3,chatterbox,1,5,5,5,4,4,4,3
session_001,survey_088,annotator_165,Man,,clip_1809,17,speaker_063,Male,5,chatterbox,0,2,3,4,1,2,2,1
session_006,survey_192,annotator_055,Woman,,clip_0440,19,speaker_052,Female,3,elevenlabs,1,4,1,5,3,3,4,2
session_001,survey_088,annotator_165,Man,,clip_0709,19,speaker_018,Male,6,chatterbox,1,1,1,1,2,1,1,1
session_006,survey_192,annotator_055,Woman,,clip_0466,20,speaker_056,Female,1,elevenlabs,1,2,3,3,3,2,2,2
session_004,survey_182,annotator_072,Woman,,clip_1057,18,speaker_081,Male,8,chatterbox,1,1,2,4,4,1,1,1
session_004,survey_182,annotator_072,Woman,,clip_0604,19,speaker_002,Male,2,chatterbox,1,4,4,5,1,3,1,1
session_002,survey_130,annotator_057,Woman,,clip_2057,9,speaker_027,Female,6,chatterbox,1,5,2,5,1,4,3,2
session_008,survey_148,annotator_088,Man,,clip_0895,1,speaker_048,Male,5,chatterbox,1,2,1,2,1,3,1,1
